# Charging an 18 cell battery
# Temperatures in this file seem accurate
#
21:01.46 E:  0,B:189,B:22.65V@1.92,D:31.22V@1.46,T:24.5
21:01.56 E:  0,B:189,B:22.65V@1.91,D:31.22V@1.48,T:24.6
21:02.06 E:  0,B:190,B:22.71V@2.21,D:31.22V@1.72,T:24.6
21:02.16 E:  0,B:190,B:22.72V@2.20,D:31.22V@1.69,T:24.6
21:02.26 E:  0,B:190,B:22.73V@2.18,D:31.22V@1.68,T:24.6
21:02.36 E:  0,B:190,B:22.73V@2.16,D:31.22V@1.66,T:24.7
21:02.46 E:  0,B:190,B:22.73V@2.16,D:31.22V@1.65,T:24.7
21:02.56 E:  0,B:190,B:22.73V@2.15,D:31.22V@1.66,T:24.7
21:03.06 E:  0,B:190,B:22.74V@2.14,D:31.22V@1.67,T:24.7
21:03.16 E:  0,B:190,B:22.74V@2.14,D:31.22V@1.65,T:24.7
21:03.26 E:  0,B:190,B:22.74V@2.12,D:31.22V@1.63,T:24.7
21:03.36 E:  0,B:190,B:22.74V@2.12,D:31.22V@1.63,T:24.7
21:03.47 E:  0,B:190,B:22.74V@2.11,D:31.22V@1.62,T:24.7
21:03.57 E:  0,B:190,B:22.74V@2.12,D:31.22V@1.63,T:24.8
21:04.07 E:  0,B:190,B:22.74V@2.11,D:31.22V@1.63,T:24.8
21:04.17 E:  0,B:190,B:22.74V@2.11,D:31.22V@1.62,T:24.8
21:04.27 E:  0,B:190,B:22.74V@2.10,D:31.22V@1.60,T:24.8
21:04.37 E:  0,B:190,B:22.74V@2.09,D:31.22V@1.60,T:24.8
21:04.47 E:  0,B:190,B:22.74V@2.09,D:31.22V@1.61,T:24.8
21:04.57 E:  0,B:190,B:22.74V@2.08,D:31.22V@1.59,T:24.8
21:05.07 E:  0,B:190,B:22.74V@2.08,D:31.22V@1.58,T:24.8
21:05.17 E:  0,B:190,B:22.74V@2.06,D:31.22V@1.57,T:24.8
21:05.27 E:  0,B:190,B:22.74V@2.06,D:31.22V@1.59,T:24.9
21:05.37 E:  0,B:190,B:22.74V@2.07,D:31.22V@1.58,T:24.9
21:05.47 E:  0,B:190,B:22.75V@2.06,D:31.22V@1.57,T:24.9
21:05.57 E:  0,B:190,B:22.75V@2.05,D:31.22V@1.57,T:24.9
21:06.07 E:  0,B:190,B:22.75V@2.04,D:31.22V@1.55,T:24.9
21:06.17 E:  0,B:190,B:22.75V@2.03,D:31.22V@1.57,T:24.9
21:06.27 E:  0,B:190,B:22.76V@2.02,D:31.22V@1.56,T:24.9
21:06.37 E:  0,B:190,B:22.76V@2.03,D:31.22V@1.55,T:24.9
21:06.47 E:  0,B:190,B:22.76V@2.01,D:31.22V@1.56,T:24.9
21:06.57 E:  0,B:190,B:22.76V@2.02,D:31.22V@1.55,T:24.9
21:07.07 E:  0,B:190,B:22.76V@2.02,D:31.22V@1.54,T:24.9
21:07.17 E:  0,B:190,B:22.76V@2.00,D:31.22V@1.53,T:25.0
21:07.27 E:  0,B:190,B:22.77V@1.99,D:31.22V@1.53,T:25.0
21:07.37 E:  0,B:190,B:22.77V@2.00,D:31.22V@1.52,T:25.0
21:07.47 E:  0,B:190,B:22.77V@1.98,D:31.22V@1.54,T:25.0
21:07.57 E:  0,B:190,B:22.77V@2.00,D:31.22V@1.53,T:25.0
21:08.08 E:  0,B:190,B:22.77V@1.98,D:31.22V@1.51,T:25.0
21:08.18 E:  0,B:190,B:22.77V@1.97,D:31.22V@1.51,T:25.0
21:08.28 E:  0,B:190,B:22.77V@1.96,D:31.22V@1.52,T:25.0
21:08.38 E:  0,B:190,B:22.77V@1.97,D:31.22V@1.50,T:25.0
21:08.48 E:  0,B:190,B:22.77V@1.95,D:31.22V@1.51,T:25.0
21:08.58 E:  0,B:190,B:22.77V@1.96,D:31.22V@1.51,T:25.1
21:09.08 E:  0,B:190,B:22.77V@1.95,D:31.22V@1.52,T:25.1
21:09.18 E:  0,B:190,B:22.77V@1.95,D:31.22V@1.50,T:25.1
21:09.28 E:  0,B:190,B:22.77V@1.94,D:31.22V@1.50,T:25.1
21:09.38 E:  0,B:190,B:22.77V@1.93,D:31.22V@1.50,T:25.1
21:09.48 E:  0,B:190,B:22.77V@1.92,D:31.22V@1.49,T:25.1
21:09.58 E:  0,B:190,B:22.77V@1.93,D:31.22V@1.51,T:25.1
21:10.08 E:  0,B:190,B:22.77V@1.91,D:31.22V@1.46,T:25.1
21:10.18 E:  0,B:190,B:22.77V@1.91,D:31.22V@1.47,T:25.1
21:10.28 E:  0,B:191,B:22.84V@2.22,D:31.22V@1.73,T:25.2
21:10.38 E:  0,B:191,B:22.84V@2.20,D:31.22V@1.71,T:25.2
21:10.48 E:  0,B:191,B:22.85V@2.19,D:31.22V@1.69,T:25.2
21:10.58 E:  0,B:191,B:22.85V@2.18,D:31.22V@1.68,T:25.2
21:11.08 E:  0,B:191,B:22.86V@2.18,D:31.22V@1.68,T:25.2
21:11.18 E:  0,B:191,B:22.86V@2.16,D:31.22V@1.68,T:25.3
21:11.28 E:  0,B:191,B:22.86V@2.14,D:31.22V@1.67,T:25.3
21:11.38 E:  0,B:191,B:22.86V@2.14,D:31.22V@1.64,T:25.3
21:11.48 E:  0,B:191,B:22.86V@2.12,D:31.22V@1.65,T:25.3
21:11.58 E:  0,B:191,B:22.86V@2.11,D:31.22V@1.63,T:25.3
21:12.08 E:  0,B:191,B:22.86V@2.13,D:31.22V@1.64,T:25.3
21:12.18 E:  0,B:191,B:22.86V@2.12,D:31.22V@1.64,T:25.3
21:12.28 E:  0,B:191,B:22.86V@2.11,D:31.22V@1.62,T:25.3
21:12.38 E:  0,B:191,B:22.86V@2.10,D:31.22V@1.62,T:25.3
21:12.48 E:  0,B:191,B:22.86V@2.08,D:31.22V@1.61,T:25.3
21:12.59 E:  0,B:191,B:22.86V@2.09,D:31.22V@1.62,T:25.4
21:13.09 E:  0,B:191,B:22.87V@2.09,D:31.22V@1.63,T:25.4
21:13.19 E:  0,B:191,B:22.86V@2.07,D:31.22V@1.61,T:25.4
21:13.29 E:  0,B:191,B:22.87V@2.08,D:31.22V@1.61,T:25.4
21:13.39 E:  0,B:191,B:22.87V@2.07,D:31.22V@1.59,T:25.4
21:13.49 E:  0,B:191,B:22.87V@2.06,D:31.22V@1.59,T:25.4
21:13.59 E:  0,B:191,B:22.87V@2.06,D:31.22V@1.60,T:25.4
21:14.09 E:  0,B:191,B:22.87V@2.05,D:31.22V@1.59,T:25.4
21:14.19 E:  0,B:191,B:22.88V@2.06,D:31.22V@1.59,T:25.4
21:14.29 E:  0,B:191,B:22.88V@2.04,D:31.22V@1.58,T:25.5
21:14.39 E:  0,B:191,B:22.88V@2.03,D:31.22V@1.58,T:25.5
21:14.49 E:  0,B:191,B:22.88V@2.03,D:31.22V@1.56,T:25.5
21:14.59 E:  0,B:191,B:22.89V@2.02,D:31.22V@1.56,T:25.5
21:15.09 E:  0,B:191,B:22.88V@2.02,D:31.22V@1.59,T:25.5
21:15.19 E:  0,B:191,B:22.88V@2.00,D:31.22V@1.55,T:25.5
21:15.29 E:  0,B:191,B:22.89V@1.99,D:31.22V@1.55,T:25.5
21:15.39 E:  0,B:191,B:22.89V@2.01,D:31.22V@1.55,T:25.5
21:15.49 E:  0,B:191,B:22.89V@1.98,D:31.22V@1.54,T:25.5
21:15.59 E:  0,B:191,B:22.89V@1.99,D:31.22V@1.54,T:25.5
21:16.09 E:  0,B:191,B:22.89V@1.97,D:31.22V@1.53,T:25.5
21:16.19 E:  0,B:191,B:22.89V@1.98,D:31.22V@1.52,T:25.6
21:16.29 E:  0,B:191,B:22.89V@1.96,D:31.22V@1.52,T:25.6
21:16.39 E:  0,B:191,B:22.89V@1.98,D:31.22V@1.54,T:25.6
21:16.49 E:  0,B:191,B:22.89V@1.96,D:31.22V@1.50,T:25.6
21:16.59 E:  0,B:191,B:22.89V@1.95,D:31.22V@1.50,T:25.6
